x_m;y_m
10.3781;10.4462
10.2877;10.6246
10.2480;10.8206
10.2621;11.0201
10.3288;11.2087
10.4434;11.3726
10.5976;11.5000
10.7801;11.5818
10.9778;11.6119
11.1764;11.5882
11.3615;11.5125
11.5197;11.3901
11.6396;11.2300
11.7124;11.0437
11.7329;10.8448
11.6997;10.6476
11.6151;10.4663
11.4852;10.3142
11.3195;10.2023
11.1299;10.1385
10.9302;10.1276
10.7349;10.1703
10.5579;10.2636
10.4123;10.4006
10.3084;10.5716
10.2539;10.7640
10.2526;10.9640
10.3048;11.1571
10.4065;11.3293
10.5504;11.4682
10.7261;11.5636
10.9210;11.6088
11.1208;11.6004
11.3111;11.5391
11.4783;11.4292
11.6101;11.2788
11.6970;11.0987
11.7328;10.9019
11.7148;10.7027
11.6444;10.5155
11.5266;10.3539
11.3700;10.2295
11.1859;10.1514
10.9876;10.1252
10.7895;10.1527
10.6059;10.2321
10.4502;10.3576
10.3335;10.5200
10.2643;10.7077
10.2477;10.9070
10.2848;11.1035
10.3730;11.2830
10.5058;11.4326
10.6737;11.5413
10.8645;11.6013
11.0644;11.6082
11.2589;11.5617
11.4339;11.4650
11.5769;11.3251
11.6773;11.1521
11.7281;10.9587
11.7254;10.7587
11.6695;10.5667
11.5644;10.3965
11.4178;10.2605
11.2402;10.1685
11.0445;10.1271
10.8449;10.1395
10.6558;10.2046
10.4909;10.3177
10.3621;10.4708
10.2788;10.6526
10.2470;10.8501
10.2689;11.0488
10.3431;11.2346
10.4641;11.3938
10.6232;11.5151
10.8088;11.5895
11.0075;11.6118
11.2050;11.5802
11.3870;11.4972
11.5402;11.3686
11.6536;11.2039
11.7190;11.0149
11.7316;10.8153
11.6906;10.6195
11.5989;10.4418
11.4631;10.2950
11.2930;10.1897
11.1011;10.1335
10.9011;10.1305
10.7076;10.1809
10.5345;10.2812
10.3944;10.4239
10.2974;10.5988
10.2506;10.7932
10.2572;10.9931
10.3170;11.1840
10.4254;11.3520
10.5747;11.4851
10.7541;11.5735
10.9506;11.6109
11.1499;11.5946
11.3377;11.5257
11.5003;11.4093
11.6260;11.2537
11.7057;11.0702
11.7335;10.8722
11.7076;10.6739
11.6297;10.4897
11.5056;10.3329
11.3441;10.2148
11.1570;10.1441
10.9579;10.1259
10.7610;10.1613
10.5808;10.2480
10.4302;10.3796
10.3201;10.5466
10.2585;10.7368
10.2499;10.9366
10.2948;11.1315
10.3901;11.3074
10.5288;11.4515
10.7009;11.5534
10.8939;11.6057
11.0939;11.6047
11.2864;11.5505
11.4575;11.4469
11.5948;11.3015
11.6884;11.1247
11.7315;10.9294
11.7209;10.7297
11.6575;10.5400
11.5458;10.3741
11.3939;10.2440
11.2128;10.1591
11.0156;10.1255
10.8167;10.1457
10.6303;10.2182
10.4700;10.3378
10.3473;10.4958
10.2712;10.6808
10.2472;10.8793
10.2770;11.0771
10.3584;11.2598
10.4856;11.4141
10.6493;11.5290
10.8378;11.5960
11.0372;11.6104
11.2333;11.5711
11.4119;11.4810
11.5599;11.3465
11.6667;11.1774
11.7246;10.9860
11.7294;10.7860
11.6806;10.5921
11.5820;10.4181
11.4405;10.2767
11.2665;10.1782
11.0724;10.1296
10.8725;10.1345
10.6811;10.1926
10.5121;10.2995
10.3777;10.4477
10.2877;10.6263
10.2486;10.8224
10.2631;11.0219
10.3303;11.2102
10.4453;11.3739
10.5998;11.5009
10.7825;11.5822
10.9803;11.6118
11.1789;11.5877
11.3638;11.5114
11.5216;11.3887
11.6411;11.2283
11.7135;11.0418
11.7335;10.8428
11.6998;10.6457
11.6147;10.4647
11.4845;10.3129
11.3185;10.2013
11.1288;10.1381
10.9290;10.1276
10.7337;10.1709
10.5571;10.2646
10.4117;10.4020
10.3083;10.5732
10.2543;10.7657
10.2535;10.9657
10.3061;11.1587
10.4083;11.3306
10.5525;11.4692
10.7285;11.5642
10.9235;11.6089
11.1233;11.6000
11.3135;11.5381
11.4803;11.4278
11.6117;11.2770
11.6981;11.0966
11.7333;10.8998
11.7148;10.7006
11.6438;10.5136
11.5255;10.3523
11.3686;10.2284
11.1843;10.1508
10.9859;10.1251
10.7879;10.1532
10.6046;10.2332
10.4492;10.3590
10.3329;10.5218
10.2643;10.7097
10.2483;10.9090
10.2859;11.1054
10.3746;11.2847
10.5078;11.4339
10.6760;11.5421
10.8670;11.6016
11.0669;11.6080
11.2612;11.5609
11.4360;11.4636
11.5786;11.3233
11.6785;11.1501
11.7287;10.9565
11.7255;10.7565
11.6690;10.5647
11.5635;10.3948
11.4165;10.2592
11.2386;10.1677
11.0428;10.1269
10.8432;10.1398
10.6543;10.2055
10.4897;10.3191
10.3614;10.4725
10.2786;10.6546
10.2473;10.8521
10.2698;11.0508
10.3445;11.2364
10.4660;11.3953
10.6254;11.5160
10.8112;11.5900
11.0101;11.6116
11.2075;11.5796
11.3892;11.4960
11.5420;11.3670
11.6550;11.2020
11.7198;11.0128
11.7319;10.8131
11.6903;10.6175
11.5981;10.4400
11.4619;10.2936
11.2915;10.1888
11.0994;10.1331
10.8994;10.1307
10.7061;10.1817
10.5333;10.2824
10.3936;10.4255
10.2971;10.6007
10.2508;10.7953
10.2580;10.9951
10.3183;11.1858
10.4272;11.3536
10.5769;11.4862
10.7565;11.5741
10.9531;11.6110
11.1524;11.5941
11.3400;11.5247
11.5023;11.4078
11.6275;11.2518
11.7066;11.0682
11.7340;10.8700
11.7075;10.6718
11.6291;10.4878
11.5045;10.3314
11.3427;10.2138
11.1554;10.1436
10.9562;10.1259
10.7595;10.1619
10.5795;10.2491
10.4292;10.3811
10.3196;10.5484
10.2585;10.7388
10.2505;10.9387
10.2960;11.1334
10.3917;11.3090
10.5308;11.4527
10.7032;11.5541
10.8964;11.6059
11.0964;11.6043
11.2888;11.5496
11.4596;11.4455
11.5965;11.2997
11.6895;11.1227
11.7320;10.9273
11.7209;10.7276
11.6569;10.5381
11.5448;10.3725
11.3925;10.2428
11.2112;10.1584
11.0139;10.1254
10.8150;10.1462
10.6288;10.2192
10.4689;10.3392
10.3467;10.4976
10.2711;10.6827
10.2477;10.8814
10.2780;11.0790
10.3599;11.2615
10.4876;11.4155
10.6516;11.5299
10.8402;11.5964
11.0398;11.6102
11.2357;11.5704
11.4140;11.4797
11.5617;11.3448
11.6680;11.1754
11.7253;10.9838
11.7295;10.7839
11.6803;10.5900
11.5811;10.4164
11.4392;10.2754
11.2649;10.1773
11.0707;10.1293
10.8708;10.1348
10.6796;10.1934
10.5109;10.3008
10.3769;10.4493
10.2874;10.6282
10.2488;10.8244
10.2640;11.0239
10.3317;11.2120
10.4472;11.3753
10.6020;11.5020
10.7850;11.5827
10.9828;11.6118
11.1813;11.5871
11.3660;11.5103
11.5235;11.3871
11.6425;11.2264
11.7144;11.0397
11.7338;10.8407
11.6995;10.6436
11.6140;10.4628
11.4833;10.3114
11.3170;10.2003
11.1271;10.1376
10.9273;10.1278
10.7322;10.1715
10.5557;10.2657
10.4108;10.4036
10.3079;10.5750
10.2544;10.7678
10.2542;10.9678
10.3073;11.1606
10.4100;11.3322
10.5546;11.4703
10.7309;11.5649
10.9260;11.6090
11.1257;11.5995
11.3158;11.5371
11.4823;11.4263
11.6132;11.2752
11.6991;11.0946
11.7338;10.8976
11.7147;10.6985
11.6432;10.5117
11.5245;10.3508
11.3672;10.2273
11.1826;10.1502
10.9842;10.1251
10.7863;10.1538
10.6032;10.2342
10.4481;10.3605
10.3324;10.5236
10.2643;10.7117
10.2488;10.9111
10.2870;11.1074
10.3762;11.2864
10.5098;11.4352
10.6783;11.5429
10.8695;11.6018
11.0694;11.6077
11.2636;11.5600
11.4381;11.4623
11.5803;11.3216
11.6797;11.1481
11.7294;10.9544
11.7256;10.7544
11.6686;10.5627
11.5625;10.3931
11.4151;10.2579
11.2370;10.1669
11.0411;10.1267
10.8416;10.1402
10.6528;10.2064
10.4886;10.3205
10.3607;10.4742
10.2784;10.6565
10.2477;10.8541
10.2708;11.0528
10.3460;11.2381
10.4679;11.3967
10.6276;11.5170
10.8137;11.5904
11.0126;11.6115
11.2099;11.5789
11.3913;11.4948
11.5438;11.3654
11.6563;11.2000
11.7206;11.0106
11.7321;10.8110
11.6900;10.6155
11.5972;10.4383
11.4606;10.2922
11.2900;10.1878
11.0977;10.1327
10.8978;10.1309
10.7045;10.1824
10.5320;10.2836
10.3927;10.4271
10.2967;10.6026
10.2510;10.7973
10.2588;10.9971
10.3196;11.1877
10.4290;11.3551
10.5791;11.4873
10.7589;11.5747
10.9556;11.6110
11.1549;11.5935
11.3422;11.5236
11.5042;11.4063
11.6290;11.2500
11.7076;11.0661
11.7344;10.8679
11.7073;10.6697
11.6284;10.4859
11.5034;10.3298
11.3412;10.2127
11.1537;10.1431
10.9545;10.1259
10.7579;10.1625
10.5781;10.2502
10.4282;10.3826
10.3191;10.5502
10.2586;10.7409
10.2511;10.9407
10.2971;11.1353
10.3934;11.3107
10.5329;11.4540
10.7056;11.5549
10.8989;11.6061
11.0989;11.6040
11.2911;11.5487
11.4616;11.4441
11.5981;11.2979
11.6906;11.1206
11.7326;10.9251
11.7208;10.7254
11.6563;10.5361
11.5437;10.3709
11.3911;10.2416
11.2095;10.1577
11.0122;10.1253
10.8133;10.1466
10.6273;10.2202
10.4677;10.3407
10.3460;10.4994
10.2709;10.6848
10.2481;10.8835
10.2790;11.0811
10.3615;11.2633
10.4895;11.4169
10.6539;11.5308
10.8427;11.5968
11.0423;11.6100
11.2381;11.5696
11.4161;11.4784
11.5634;11.3431
11.6693;11.1734
11.7260;10.9817
11.7296;10.7817
11.6798;10.5880
11.5801;10.4146
11.4379;10.2740
11.2633;10.1765
11.0690;10.1290
10.8691;10.1351
10.6780;10.1942
10.5096;10.3022
10.3761;10.4511
